title,comment,date
[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형,이형님은 뭔가 달라..﻿,[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형
[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형,안녕하십니깐석원입니다﻿,[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형
[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형,쌤 아직 정정하시네요.. ㅠ 전 올해 대학 졸업이네요 ㅠㅠ﻿,[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형
[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형,21번 풀때 ㅋㅋㅋㅋㅋㅋ﻿,[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형
[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형,'그 기출문제'﻿,[대성마이맥]수학 한석원 -  2018년 6월 모의평가 해설 수학 가형
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,머리는 없지만 속은 꽉차셧다는말이 틀린말이 아니네요﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,문과들도 어루어 살피는 깐석원﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"안녕하십니깐석원입니다.
오늘은 엑써싸이즈 푸는날인데용..그에 앞서
빵꾸뽕!짬뽕!
양쪽직각??내려찍어!!찍으라고!
다당당당당당당..드르륵이 안돼 드르륵이...
선생님!그림이 이상한데요?시비걸지 마세요옹~ 그림 개판!다시그려 이 망할 선생아
글씨 뭐야 이게!똑바로 써 똑바로
선생님!별로 차이없는데요?그냥 넘어가주세용
 선생님이 좋아하는 말 있죠?자명타!
뭠뭠뭐뭠뭐머머뭐 뭐라고?어떻게 하는거라고?아 해서 관껀쩍인!문제다!이거는 이렇게 하는거 rrrrㅏ고!
아니 선생님 왜 자꾸 선생님도 못하는 방법가지고 지랄이십니까?선생님은 다 할 수 있어용ㅎ 아~~말뜻이 너 이거 할줄 아냐?이말이죠!
아니이~! 선생님 너무 어렵잖아요 썅!!
저는 머리가 안 좋아서  모르겠어요가아니고!엄마뱃속으로 다시 들어가 그럼 그냥 눈에 불을켜고 보면 보인다 이말이지?
여러분 수고하셨습니다.﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,이분 철학자이심?﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,어차피 공부잘하는 문과생들은 변별력이 되는 수학시험을 포기하는 미련한 짓은 안함. 단순히 수학이 어렵고 싫어서 문과를 택한 문과생들에겐 과감히 수학포기하고 전략적 문과에 편향된 과목을 집중스터디하는 것도 나쁘지 않다고 생각.﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
