count,date,story
28,2017년 11월 15일,어 대성이구만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한석원쌤 따흙륽,
29,2017년 7월 27일,"심심해서 쓰는 인강 추천글

국어:김상훈 박광일(이하 대성) 권규호(이투스) 이원준 유대종(이하 메가스터디)
이과 수학:현우진(메가스터디) 이창무 한석원(이하 대성)",1
30,2017년 1월 13일,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나 대성끊음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이명학 한석원...,
31,2017년 1월 2일,아 대성 패스 끊어야 하는데... 한석원쌤 커리를 타보려 하는데... 근데 이쌤 정말 담백하게 재미가 없으시다,1
32,2016년 4월 20일,@ny_anyway 프리패스해소!  나존나욕심쟁이거든? 과탐2국어영어 개나댄다진짜 카구 대성에서 한석원수학들오>`<,
33,2016년 2월 25일,@YG960915 야시발나도지금할까 고민중임 ㅇㅂㅇ 대성맞지? 나존낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한석원쌤 인강들음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ시발 ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ님아 우리고삼,
34,2015년 7월 7일,@second_raon 한석원이라고 대성 수학강사 있는데 좋음. 상위권들이 들어야한다는 평이 보이기는 하는데 뭐 난 상위권 아니어도 잘만 들었으니,
35,2015년 6월 13일,@shoe_cream_ 대성 마이맥 수학에 한석원쌤 좋죠....생각의 질서 들었는데,
36,2012년 2월 28일,"한석원선생님의 수리영역학습법 (2013 대성-티치미 입시설명회 강연 녹취): 그~~ 외국어영역하고 언어영역 들어봤더니 EBS가 짱인 모양이죠? 
수학은 그러지 않습니다.
아~~ 수학이라는 과목이 순결해... http://bit.ly/Ar7R1F ",
37,2011년 10월 23일,대성 쩌네ㅋㅋㅋㅋㅋㅋ한석원이라니ㅋㅋㅋㅋ,
38,2011년 5월 20일,"대성석가사는 2009년 12월 1일부터 자율기부제에서 정액기부제(250루피)로 바꾸었다고 한다. 중국사원과 비교해서 아직 회색빛의 우중충한 대성석가사가 좀 아쉬웠다. 황룡사 대웅전을 참고로 짓고 있다던데, 완성되는 그날이 기대된다.",
count,date,comment,like
